location_id,address,latitude,longitude
LOC001,"145 Hill Canyon, Dicksonport, ID 26611",25.13555615636721,55.333572145889896
LOC002,"31371 Cassandra Cape Suite 088, West Melissaview, PR 32360",25.01417442266575,55.228959843534305
LOC003,"1194 Brandt Centers, North Linda, CT 72248",25.110621784736786,55.1930748869987
LOC004,"7149 Warren Trace, Shannontown, MN 32731",25.115618841946517,55.107828551311144
LOC005,"6595 Charles Grove, North Karen, LA 81245",25.212053807544418,55.34040344978827
LOC006,"0956 Andrew Parks Suite 617, Susantown, TX 26409",25.04100518030486,55.12423787770106
LOC007,"114 Stevenson Viaduct Suite 613, West David, FM 77456",25.052270801508133,55.20271642350873
LOC008,"598 Lauren Brook, Amberville, NE 88992",25.164389646428933,55.312814341514205
LOC009,"Unit 8843 Box 3745, DPO AP 07921",25.102938427084283,55.116797201071506
LOC010,"510 Graves Spurs Apt. 479, South Susanmouth, NH 17976",25.18087005368818,55.296940001621955
LOC011,"846 Michelle Inlet, Timothyport, ID 86274",25.22142408668554,55.287866394926965
LOC012,"58820 Jason Tunnel Suite 382, Ernestland, SD 72179",25.107373266399055,55.279914389803764
LOC013,"23120 Peterson Islands Apt. 572, Mileshaven, NM 62557",25.08946305241787,55.33852915614706
LOC014,"49734 Harper Row, Michelleville, NJ 09630",25.228790608482754,55.34768751191849
LOC015,"150 Williams Corners, Xaviermouth, IA 08327",25.049486241173227,55.23720461238108
LOC016,"8592 Michelle Freeway Apt. 194, North Adrianside, NC 32962",25.1566857763471,55.3343401809953
LOC017,"0462 Jeremy Dam Suite 644, Stephanietown, MN 56628",25.085584313819187,55.23389853355172
LOC018,"4026 Christensen Knolls, West Kelseyshire, AZ 68814",25.055446085082973,55.37688743004512
LOC019,"73587 Lynch Plain Suite 255, Cameronton, CO 50088",25.10610574142725,55.27879328164249
LOC020,"400 Beth Via, Davidport, VI 28613",25.247763050567148,55.21266078078145
LOC021,"7820 Andrew Brook, South Crystal, MS 79059",25.148704081151962,55.386200333408716
LOC022,"99037 Matthew Parks Apt. 593, West Chelsey, VI 35862",25.020055560393896,55.382865144248925
LOC023,"37919 Norton Route Apt. 169, Clarktown, OK 44280",25.22946133749031,55.356278400969146
LOC024,"USCGC Raymond, FPO AA 65472",25.162604634384067,55.38740846895719
LOC025,"2776 Anna Springs Suite 893, Masseybury, FL 56746",25.134831015701387,55.376333366579516
LOC026,"44464 Fernandez Plains, Olsonburgh, NE 23540",25.1607711635144,55.26009497808082
LOC027,"653 Greene Curve, East Larry, MP 78990",25.098614578503053,55.29785772753777
LOC028,"25135 Jean Brooks Apt. 691, Port Chad, IL 98993",25.193678900483416,55.121853669065004
LOC029,"914 Christine View, Faithshire, CA 26938",25.10303857927799,55.10334733349389
LOC030,"96779 Perez Mills Apt. 526, Lake Jesse, IA 04643",25.054463150046058,55.23718496097689
LOC031,"PSC 8146, Box 1574, APO AE 95549",25.146665851815406,55.35359012560572
LOC032,"29060 Webster Passage, East Jim, AK 29402",25.174458897064113,55.263704597632476
LOC033,"4141 Hannah Island Apt. 801, New Annaburgh, GA 99894",25.0591836249634,55.2408705591886
LOC034,"415 Kevin Canyon, East Joseph, WV 20635",25.08647458915849,55.211277021084854
LOC035,"74409 Mooney Flat, Lake Savannah, VA 77094",25.20848280501857,55.33543801023882
LOC036,"80522 Ortiz Street Suite 379, Jamesstad, CA 96806",25.16454853911666,55.34692911247501
LOC037,"407 David Meadows, Samuelton, KY 18556",25.178171598487268,55.32806774659065
LOC038,"92374 Margaret Island Apt. 601, Popeshire, PA 40094",25.198906773661186,55.20814754994267
LOC039,"649 Jones Bypass, Woodtown, OR 91432",25.23938536791333,55.203974809294586
LOC040,"8702 Kathryn Station Suite 288, Nelsonburgh, OH 54780",25.087376281415374,55.10847368951693
